"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN",
"COM00080110","OLAYA HERRERA, CO","2000-01-27","22.1","22.3"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2000-07-15","22.1","21.9"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2000-07-21","23.1","20.6"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2000-12-16","20.1","20.4"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2000-12-30","23.9","22.2"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2001-07-28","21.1","20.8"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2001-10-07","34.0","23.4"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2001-12-09","51.1","22.4"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2002-04-07","90.9","21.5"," ","19.0",
"COM00080110","OLAYA HERRERA, CO","2002-04-10","23.1","20.5"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2002-05-30","29.0","21.1"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2002-06-11","50.0","24.4"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2002-09-26","40.9","23.0"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2002-09-28","29.0","21.1"," ","16.5",
"COM00080110","OLAYA HERRERA, CO","2002-11-08","42.9","19.1"," ","16.5",
"COM00080110","OLAYA HERRERA, CO","2002-12-05","20.1","22.7"," ","18.4",
"COM00080110","OLAYA HERRERA, CO","2003-02-12","20.1","25.4"," "," ",
"COM00080110","OLAYA HERRERA, CO","2003-04-10","31.0","21.9"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2003-04-24","31.0","23.1"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2003-05-09","22.1","22.3"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2003-06-03","20.1","21.8"," ","18.3",
"COM00080110","OLAYA HERRERA, CO","2003-06-13","38.1","20.3"," ","17.7",
"COM00080110","OLAYA HERRERA, CO","2003-11-12","37.1","21.3"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2003-11-15","25.9","23.4"," ","17.1",
"COM00080110","OLAYA HERRERA, CO","2003-11-22","26.9","21.8"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2003-12-02","29.0","23.2"," ","18.3",
"COM00080110","OLAYA HERRERA, CO","2004-03-08","23.1","22.2"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2004-03-28","21.1","22.6"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2004-09-22","23.1","19.3"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2004-10-18","31.0","20.9","24.1","17.2",
"COM00080110","OLAYA HERRERA, CO","2004-10-31","23.9","21.7"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2004-11-04","24.9","23.1"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2004-11-20","23.1","22.7"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2004-12-29","20.1","22.2"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2005-02-06","52.3","24.2"," "," ",
"COM00080110","OLAYA HERRERA, CO","2005-05-05","50.0","22.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2005-05-16","65.0","22.6"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2005-05-17","25.9","19.8"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2005-05-19","25.9","19.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2005-05-23","39.1","20.8"," ","16.3",
"COM00080110","OLAYA HERRERA, CO","2005-06-06","393.4","22.3"," "," ",
"COM00080110","OLAYA HERRERA, CO","2005-06-19","132.6","24.7"," ","15.1",
"COM00080110","OLAYA HERRERA, CO","2005-06-22","229.6","24.9"," ","17.1",
"COM00080110","OLAYA HERRERA, CO","2005-06-25","132.3","24.6"," ","16.1",
"COM00080110","OLAYA HERRERA, CO","2005-07-03","140.0","25.3"," ","15.1",
"COM00080110","OLAYA HERRERA, CO","2005-07-05","42.9","22.6"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2005-07-07","26.9","22.1"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2005-07-24","127.0","26.1"," ","13.2",
"COM00080110","OLAYA HERRERA, CO","2005-08-07","132.3","26.2"," ","10.9",
"COM00080110","OLAYA HERRERA, CO","2005-08-14","132.6","23.7"," ","14.3",
"COM00080110","OLAYA HERRERA, CO","2005-08-16","23.1","20.5"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2005-09-23","30.0","21.0"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2005-10-10","24.9","20.5"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2005-11-11","22.1","20.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2005-11-22","24.9","21.9"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2006-03-07","25.9","23.0"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2006-04-30","55.9","22.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2006-10-14","33.0","21.3"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2006-11-22","23.9","22.8"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2006-12-12","23.1","21.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2007-07-20","33.0","22.2"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2007-07-24","24.9","20.8"," "," ",
"COM00080110","OLAYA HERRERA, CO","2007-10-27","20.1","21.3"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2010-01-30","26.9","23.4"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2010-04-04","21.1","21.6"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2010-04-14","30.0","24.1"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2010-04-27","29.0","23.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-05-20","33.0","23.8"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2010-05-31","32.0","21.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-06-03","30.0","23.1"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-06-17","22.1","24.3"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2010-06-22","23.9","22.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2010-07-04","36.1","22.8"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2010-07-18","22.1","22.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2010-07-21","31.0","22.9"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2010-07-31","36.1","21.3"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2010-08-29","29.0","22.6"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2010-09-03","20.1","22.3"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2010-09-05","26.9","22.1"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2010-09-07","22.1","19.9"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2010-09-17","20.1","21.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2010-09-19","22.1","21.0"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2010-09-20","27.9","21.4"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-09-21","20.1","20.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2010-09-26","29.0","22.4"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2010-10-29","22.1","21.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-11-01","24.9","22.1"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2010-11-03","39.9","20.2"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-11-07","20.1","20.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2010-11-20","22.1","21.7"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2010-12-01","35.1","21.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-12-03","34.0","20.5"," "," ",
"COM00080110","OLAYA HERRERA, CO","2010-12-20","21.1","19.9"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2010-12-26","30.0","21.5"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2011-01-04","20.1","19.8"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-01-05","33.0","21.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-01-27","35.1","21.7"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2011-02-07","36.1","18.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-02-11","26.9","21.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-02-14","33.0","21.7"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2011-02-24","27.9","20.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-03-23","24.9","21.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-04-06","25.9","22.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-04-11","23.1","22.2"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2011-04-15","40.9","20.3"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2011-04-16","39.9","21.4"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2011-04-21","32.0","21.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-04-27","43.9","22.3"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2011-04-28","25.9","21.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-05-29","22.1","23.8"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2011-06-02","66.0","21.0"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-06-06","36.1","23.3"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2011-06-18","21.1","24.7"," ","18.1",
"COM00080110","OLAYA HERRERA, CO","2011-06-23","21.1","21.9"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2011-06-26","34.0","22.5"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2011-07-13","64.0","21.3"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2011-07-29","27.9","20.6"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2011-08-20","36.1","20.6"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2011-09-11","47.0","20.4"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2011-09-19","21.1","21.5"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-09-25","24.9","21.0"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-09-26","20.1","22.6"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2011-10-07","29.0","24.1"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2011-10-10","21.1","21.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-10-15","26.9","22.1"," ","15.8",
"COM00080110","OLAYA HERRERA, CO","2011-10-17","39.1","20.8"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-10-27","23.9","23.8"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2011-11-08","33.0","21.2"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2011-11-19","24.9","21.6"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2011-11-21","21.1","21.9"," ","15.7",
"COM00080110","OLAYA HERRERA, CO","2011-11-24","41.9","22.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2011-12-05","50.0","20.4"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-12-06","35.1","21.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2011-12-08","22.1","20.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2012-01-17","34.0","21.8"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2012-03-19","21.1","21.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-04-02","26.9","25.4"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-04-07","30.0","20.2"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2012-04-09","24.9","22.0"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-04-10","22.1","21.5"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2012-04-19","23.1","21.8"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-05-01","34.0","20.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-05-03","21.1","23.2"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-05-06","27.9","22.0"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2012-05-09","20.1","20.4"," "," ",
"COM00080110","OLAYA HERRERA, CO","2012-06-13","33.0","22.3"," ","18.8",
"COM00080110","OLAYA HERRERA, CO","2012-07-01","23.9","23.5"," ","15.9",
"COM00080110","OLAYA HERRERA, CO","2012-07-12","21.1","22.5"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2012-08-23","27.9","23.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2012-10-07","23.9","22.9"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2012-10-14","25.9","22.7"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2012-10-31","26.9","22.6"," ","17.1",
"COM00080110","OLAYA HERRERA, CO","2012-11-14","29.0","23.3"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2012-12-02","25.9","21.4"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2013-02-04","32.0","22.9"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2013-02-14","37.1","21.9"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2013-05-01","26.9","22.5"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2013-05-03","30.0","22.7"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2013-05-17","22.1","21.3"," ","17.3",
"COM00080110","OLAYA HERRERA, CO","2013-05-22","24.9","21.9"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2013-05-23","22.1","21.8"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2013-06-25","23.1","23.6"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2013-08-08","21.1","21.2"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2013-08-09","35.1","22.3"," ","15.6",
"COM00080110","OLAYA HERRERA, CO","2013-09-06","31.0","20.6"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2013-11-04","32.0","21.7"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2013-11-05","35.1","21.8"," ","16.5",
"COM00080110","OLAYA HERRERA, CO","2013-12-02","68.1","20.7"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2014-01-12","23.1","22.8"," ","17.3",
"COM00080110","OLAYA HERRERA, CO","2014-02-28","21.1","22.4"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2014-03-07","21.1","22.3"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2014-04-22","36.1","23.6"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2014-04-24","20.1","21.6"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2014-05-31","20.1","25.1"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2014-06-15","21.1","25.5"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2014-09-12","23.9","21.2"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2014-09-15","20.1","22.9"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2014-10-07","21.1","21.5"," ","16.0",
"COM00080110","OLAYA HERRERA, CO","2014-10-30","23.1","21.8"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2014-10-31","23.1","21.0"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2014-11-12","39.9","20.8"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2014-11-13","29.0","21.4"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2014-11-23","25.9","23.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2015-02-21","30.0","24.8"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2015-05-29","23.9","22.1"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2015-07-21","37.1","23.9"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2015-09-30","26.9","21.9"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2015-11-05","24.9","22.1"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2016-01-07","21.1","25.2"," ","18.4",
"COM00080110","OLAYA HERRERA, CO","2016-03-08","22.1","24.6"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2016-05-10","36.1","19.7"," ","17.6",
"COM00080110","OLAYA HERRERA, CO","2016-05-26","22.1","23.3"," ","17.7",
"COM00080110","OLAYA HERRERA, CO","2016-05-31","31.0","22.8"," "," ",
"COM00080110","OLAYA HERRERA, CO","2016-08-26","20.1","22.1"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2016-10-29","32.0","21.4"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2016-12-21","35.1","19.2"," ","16.6",
"COM00080110","OLAYA HERRERA, CO","2017-01-08","35.1","21.8"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2017-01-16","21.1","22.3"," ","16.2",
"COM00080110","OLAYA HERRERA, CO","2017-01-20","35.1","23.2"," ","17.3",
"COM00080110","OLAYA HERRERA, CO","2017-02-24","21.1","21.7"," "," ",
"COM00080110","OLAYA HERRERA, CO","2017-03-02","23.9","22.3"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2017-05-06","32.0","21.7"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2017-05-08","27.9","21.9"," "," ",
"COM00080110","OLAYA HERRERA, CO","2017-05-16","41.9","23.3"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2017-05-18","38.1","25.2"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2017-09-13","20.1","22.1"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2017-11-19","24.9","22.4"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2017-12-03","31.0","23.1"," ","18.2",
"COM00080110","OLAYA HERRERA, CO","2018-02-14","34.0","20.6"," "," ",
"COM00080110","OLAYA HERRERA, CO","2018-02-16","20.1","23.9"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2018-04-01","21.1","21.7"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2018-04-14","20.1","22.6"," ","18.0",
"COM00080110","OLAYA HERRERA, CO","2018-05-04","25.9","22.1"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2018-05-20","51.1","21.4"," ","15.6",
"COM00080110","OLAYA HERRERA, CO","2018-05-27","24.9","23.2"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2018-05-31","23.1","24.8"," ","17.8",
"COM00080110","OLAYA HERRERA, CO","2018-06-03","21.1","24.3"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2018-07-27","21.1","21.9"," ","17.9",
"COM00080110","OLAYA HERRERA, CO","2018-09-06","33.0","22.6"," ","17.0",
"COM00080110","OLAYA HERRERA, CO","2018-09-27","23.1","21.7"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2018-09-28","30.0","22.3"," ","17.1",
"COM00080110","OLAYA HERRERA, CO","2018-10-04","33.0","22.9"," ","16.3",
"COM00080110","OLAYA HERRERA, CO","2018-10-05","36.1","22.1"," ","16.9",
"COM00080110","OLAYA HERRERA, CO","2018-10-06","48.0","21.1"," "," ",
"COM00080110","OLAYA HERRERA, CO","2018-11-02","24.9","20.7"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2018-11-03","20.1","21.0"," ","16.7",
"COM00080110","OLAYA HERRERA, CO","2019-01-07","25.9","23.3"," ","15.7",
"COM00080110","OLAYA HERRERA, CO","2019-02-27","20.1","21.1"," "," ",
"COM00080110","OLAYA HERRERA, CO","2019-03-04","30.0","24.2"," ","16.4",
"COM00080110","OLAYA HERRERA, CO","2019-03-26","67.1","22.7"," ","17.5",
"COM00080110","OLAYA HERRERA, CO","2019-04-02","34.0","22.2"," ","17.4",
"COM00080110","OLAYA HERRERA, CO","2019-04-05","39.9","22.4"," ","17.2",
"COM00080110","OLAYA HERRERA, CO","2019-04-18","32.0","22.9"," ","16.8",
"COM00080110","OLAYA HERRERA, CO","2019-04-21","23.9","21.7"," ","18.2",
